sample_id,is_correct,format_fail,num_steps,predicted_boundary_by_gap,predicted_boundary_by_gap_jump,predicted_boundary_by_kl,human_first_error_step,error_type,boundary_pattern,exact_match_gap,within_one_gap,exact_match_gap_jump,within_one_gap_jump,exact_match_kl,within_one_kl,max_gap,max_kl
gsm8k-test-0,True,False,7,7,2,4,,,,,,,,,,0.026631453458000633,0.11587265318887792
gsm8k-test-1,True,False,5,5,3,2,,,,,,,,,,0.002339461270500632,0.600966062495131
gsm8k-test-2,True,False,15,3,7,8,,,,,,,,,,0.009840313126059139,1.5015949659795365
gsm8k-test-3,True,False,6,6,3,2,,,,,,,,,,0.006605267524719238,0.34049263134313423
gsm8k-test-4,False,False,4,4,2,1,,,,,,,,,,-0.006998858144206386,1.7538578232951887
gsm8k-test-5,True,False,16,13,2,1,,,,,,,,,,0.05346061786015829,3.041633156901138
gsm8k-test-6,True,False,7,5,2,1,,,,,,,,,,4.317309405352618e-07,0.2600175054097699
gsm8k-test-7,True,False,16,4,13,1,,,,,,,,,,0.005909380458650135,0.9292047857303771
gsm8k-test-8,True,False,10,1,4,6,,,,,,,,,,0.017937115260532925,0.32980707110746615
gsm8k-test-9,True,False,12,8,2,1,,,,,,,,,,0.06205094402486628,2.1738750327338217
gsm8k-test-10,True,False,7,7,4,3,,,,,,,,,,0.03211629788080851,0.8084427561564115
gsm8k-test-11,True,False,15,15,4,3,,,,,,,,,,0.011459344625473022,0.4653338477768035
gsm8k-test-12,True,False,9,4,9,8,,,,,,,,,,0.01744227549609016,0.5968772693611978
gsm8k-test-13,True,False,12,6,2,1,,,,,,,,,,0.001313961469210111,0.3275583633908811
gsm8k-test-14,False,False,5,1,3,2,,,,,,,,,,0.02795092761516571,0.15471052064919835
gsm8k-test-15,True,False,16,13,2,1,,,,,,,,,,0.02142003509733412,0.29775627107164343
gsm8k-test-16,True,False,9,5,2,3,,,,,,,,,,5.183012589164402e-09,0.917531509446672
gsm8k-test-17,True,False,8,4,4,1,,,,,,,,,,0.009045263131459555,0.28538585160599744
gsm8k-test-18,True,False,10,4,4,3,,,,,,,,,,0.026905643939971923,0.8924567565024127
gsm8k-test-19,True,False,12,7,3,4,,,,,,,,,,0.024667692184448243,1.2388098727326822
gsm8k-test-20,True,False,11,10,10,1,,,,,,,,,,0.04408223520625721,0.5091810387937006
gsm8k-test-21,True,False,3,2,2,3,,,,,,,,,,0.02268573370846835,0.37593157475883154
gsm8k-test-22,True,False,16,6,10,1,,,,,,,,,,0.049577031816755025,0.7095728623002466
gsm8k-test-23,True,False,7,4,3,7,,,,,,,,,,0.007552260160446167,0.5395877930030776
gsm8k-test-24,True,False,10,8,2,1,,,,,,,,,,0.030549387137095135,2.563091383714168
gsm8k-test-25,True,False,6,6,6,1,,,,,,,,,,0.023896234376089915,1.660068238131028
gsm8k-test-26,True,False,15,1,3,1,,,,,,,,,,0.011032187021695651,0.4717666674037275
gsm8k-test-27,False,False,16,6,2,1,,,,,,,,,,0.03731045041765486,0.9987171962853925
gsm8k-test-28,True,False,8,2,5,4,,,,,,,,,,0.023726820945739746,0.20580582801751296
gsm8k-test-29,True,False,10,4,2,1,,,,,,,,,,0.02342478607011878,0.5086084636488746
gsm8k-test-30,True,False,8,8,2,1,,,,,,,,,,0.010281757304542944,0.6057936799870731
gsm8k-test-31,True,False,9,3,7,1,,,,,,,,,,0.03783956650764712,0.1561369080632915
gsm8k-test-32,True,False,7,6,2,1,,,,,,,,,,0.034537409913950955,0.30666252481705264
gsm8k-test-33,True,False,10,3,2,1,,,,,,,,,,0.04078720808029175,1.250166891375115
gsm8k-test-34,True,False,6,6,3,1,,,,,,,,,,0.0002990514039993286,0.7708320518546286
gsm8k-test-35,True,False,9,9,4,5,,,,,,,,,,0.026296953360239666,0.15688412701384521
gsm8k-test-36,False,False,6,4,4,3,,,,,,,,,,0.0026854131279922112,0.6118760066145512
gsm8k-test-37,True,False,15,12,2,1,,,,,,,,,,0.006704421604380888,3.277281218113762
gsm8k-test-38,True,False,10,9,2,7,,,,,,,,,,0.016568553858789904,0.32791340775946315
gsm8k-test-39,True,False,9,9,2,3,,,,,,,,,,0.0025783777236938477,0.24898531546657587
gsm8k-test-40,True,False,3,2,2,1,,,,,,,,,,0.01891694700016695,0.11535806625609174
gsm8k-test-41,True,False,9,7,2,1,,,,,,,,,,0.023110363934491132,0.16039487943068756
gsm8k-test-42,True,False,5,4,3,3,,,,,,,,,,0.0348713348309199,0.051526066387353214
gsm8k-test-43,True,False,8,5,2,1,,,,,,,,,,0.029543308650746065,3.5688646952306367
gsm8k-test-44,False,False,4,2,2,1,,,,,,,,,,-0.015588457937593813,0.1797130115183017
gsm8k-test-45,True,False,12,9,9,6,,,,,,,,,,0.0026386705311861906,0.2108542483643916
gsm8k-test-46,True,False,9,4,3,1,,,,,,,,,,0.013556068142255148,0.38814128090355193
gsm8k-test-47,False,False,6,6,2,5,,,,,,,,,,0.004725952943166097,0.22434631145855194
gsm8k-test-48,True,False,7,6,4,3,,,,,,,,,,0.01197011981691633,0.22518153652584624
gsm8k-test-49,True,False,6,6,4,3,,,,,,,,,,0.0006296157836914063,0.3858440959622503
gsm8k-test-50,False,False,4,4,3,2,,,,,,,,,,0.023591491911146376,1.0225137185345523
gsm8k-test-51,True,False,7,5,2,1,,,,,,,,,,0.04597640037536621,0.37686425955116093
gsm8k-test-52,True,False,5,3,2,2,,,,,,,,,,0.03235770323697258,0.14381926180196586
gsm8k-test-53,True,False,15,14,8,7,,,,,,,,,,0.01158830215191019,0.18109153996545727
gsm8k-test-54,True,False,8,4,3,1,,,,,,,,,,0.02948904037475586,0.27598545080981235
gsm8k-test-55,True,False,7,6,3,5,,,,,,,,,,0.021301786104838055,0.22015944448877178
gsm8k-test-56,True,False,5,4,4,2,,,,,,,,,,-0.030785476719891583,0.3210150397962744
gsm8k-test-57,True,False,12,6,10,8,,,,,,,,,,0.042063010590417046,0.5603063594553842
gsm8k-test-58,False,False,9,5,5,4,,,,,,,,,,0.000625735835025185,0.9777236192973395
gsm8k-test-59,True,False,5,5,2,2,,,,,,,,,,2.1036933450137867e-07,1.0746270293901619
gsm8k-test-60,True,False,9,5,2,2,,,,,,,,,,0.005896736593807445,0.34181972848366915
gsm8k-test-61,True,False,6,6,4,2,,,,,,,,,,-0.0005452533562978109,0.19330438927574473
gsm8k-test-62,False,False,16,12,2,5,,,,,,,,,,0.012517723170193758,1.0952731986001423
gsm8k-test-63,True,False,16,7,2,1,,,,,,,,,,0.007112183068927966,0.98912067498463
gsm8k-test-64,True,False,13,2,5,3,,,,,,,,,,0.029689641225905644,0.6319770770853184
gsm8k-test-65,False,False,5,4,2,1,,,,,,,,,,0.015624944652829851,0.3939723974068414
gsm8k-test-66,True,False,10,2,2,5,,,,,,,,,,0.002110560735066732,1.3759381882966533
gsm8k-test-67,True,False,9,9,2,1,,,,,,,,,,0.0084218829870224,0.18453842284542865
gsm8k-test-68,True,False,8,2,7,1,,,,,,,,,,0.03872208846242804,0.13024059264451782
gsm8k-test-69,True,False,5,3,3,1,,,,,,,,,,0.009059935808181763,0.25553601563330897
gsm8k-test-70,False,False,6,5,3,1,,,,,,,,,,-0.008198955479790182,0.4551125838704365
gsm8k-test-71,True,False,7,3,2,4,,,,,,,,,,0.0006618882928575788,1.1272296142577183
gsm8k-test-72,True,False,9,1,4,2,,,,,,,,,,0.01092689832051595,0.1798154330389768
gsm8k-test-73,True,False,8,6,2,1,,,,,,,,,,0.000691482895299008,0.8879882661234682
gsm8k-test-74,True,False,11,11,2,4,,,,,,,,,,0.005444731031145368,0.13976119099897158
gsm8k-test-75,True,False,12,3,2,1,,,,,,,,,,0.021973586082458495,0.2673913397830193
gsm8k-test-76,False,False,8,6,2,1,,,,,,,,,,0.024614070591173674,0.2756976077410163
gsm8k-test-77,True,False,7,3,3,2,,,,,,,,,,0.019156376520792644,0.35217572163776417
gsm8k-test-78,False,False,15,2,7,1,,,,,,,,,,0.010295599699020386,0.5358316632107647
gsm8k-test-79,True,False,7,2,6,4,,,,,,,,,,0.06660968065261841,0.27707332113181754
gsm8k-test-80,True,False,8,6,2,2,,,,,,,,,,0.029795018831888835,0.5632621528922649
gsm8k-test-81,True,False,5,5,3,2,,,,,,,,,,-0.0012671008254542496,0.2801438271624652
gsm8k-test-82,True,False,16,16,5,3,,,,,,,,,,0.05833166440327962,0.5371121059005525
gsm8k-test-83,True,False,6,3,2,1,,,,,,,,,,0.02574482758839925,0.3071258236177166
gsm8k-test-84,True,False,11,11,2,1,,,,,,,,,,0.030929591920640733,1.7299445371460518
gsm8k-test-85,True,False,11,10,4,7,,,,,,,,,,0.03547041039717825,0.7647948120701606
gsm8k-test-86,False,False,16,5,3,1,,,,,,,,,,0.029956140301444313,0.5507851917575389
gsm8k-test-87,True,False,16,5,3,2,,,,,,,,,,0.06288360981714158,1.1651155134689026
gsm8k-test-88,True,False,8,6,2,1,,,,,,,,,,0.021084053949876266,1.1034807533933428
gsm8k-test-89,True,False,5,4,3,1,,,,,,,,,,0.009956010456742912,0.26478908306427607
gsm8k-test-90,True,False,9,7,2,1,,,,,,,,,,0.011630108723273644,0.9195721702444094
gsm8k-test-91,True,False,11,1,3,5,,,,,,,,,,0.008823524821888317,0.053008385893425235
gsm8k-test-92,True,False,8,7,2,1,,,,,,,,,,0.009032931327819824,1.0381560948983917
gsm8k-test-93,True,False,10,6,2,1,,,,,,,,,,0.052439037958780924,0.5093106158693104
gsm8k-test-94,True,False,8,5,5,2,,,,,,,,,,0.02578508272403624,0.35806539426112993
gsm8k-test-95,True,False,8,1,4,5,,,,,,,,,,0.03044287363688151,0.4654462334493979
gsm8k-test-96,True,False,8,7,2,1,,,,,,,,,,0.005869970321655273,0.2389997223824697
gsm8k-test-97,True,False,6,4,2,1,,,,,,,,,,-0.005279362201690674,1.0733388113660485
gsm8k-test-98,True,False,8,6,3,2,,,,,,,,,,0.01617552378238776,0.26858403718868
gsm8k-test-99,True,False,5,5,2,1,,,,,,,,,,-0.010258501226251776,1.04895737156435
