sample_id,is_correct,first_error_step,error_type,boundary_pattern,comments,predicted_boundary_by_gap,predicted_boundary_by_gap_jump,predicted_boundary_by_kl,num_steps
gsm8k-test-0,True,,,,,7,2,4,7
gsm8k-test-1,True,,,,,5,3,2,5
gsm8k-test-2,True,,,,,3,7,8,15
gsm8k-test-3,True,,,,,6,3,2,6
gsm8k-test-4,False,,,,,4,2,1,4
gsm8k-test-5,True,,,,,13,2,1,16
gsm8k-test-6,True,,,,,5,2,1,7
gsm8k-test-7,True,,,,,4,13,1,16
gsm8k-test-8,True,,,,,1,4,6,10
gsm8k-test-9,True,,,,,8,2,1,12
gsm8k-test-10,True,,,,,7,4,3,7
gsm8k-test-11,True,,,,,15,4,3,15
gsm8k-test-12,True,,,,,4,9,8,9
gsm8k-test-13,True,,,,,6,2,1,12
gsm8k-test-14,False,,,,,1,3,2,5
gsm8k-test-15,True,,,,,13,2,1,16
gsm8k-test-16,True,,,,,5,2,3,9
gsm8k-test-17,True,,,,,4,4,1,8
gsm8k-test-18,True,,,,,4,4,3,10
gsm8k-test-19,True,,,,,7,3,4,12
gsm8k-test-20,True,,,,,10,10,1,11
gsm8k-test-21,True,,,,,2,2,3,3
gsm8k-test-22,True,,,,,6,10,1,16
gsm8k-test-23,True,,,,,4,3,7,7
gsm8k-test-24,True,,,,,8,2,1,10
gsm8k-test-25,True,,,,,6,6,1,6
gsm8k-test-26,True,,,,,1,3,1,15
gsm8k-test-27,False,,,,,6,2,1,16
gsm8k-test-28,True,,,,,2,5,4,8
gsm8k-test-29,True,,,,,4,2,1,10
gsm8k-test-30,True,,,,,8,2,1,8
gsm8k-test-31,True,,,,,3,7,1,9
gsm8k-test-32,True,,,,,6,2,1,7
gsm8k-test-33,True,,,,,3,2,1,10
gsm8k-test-34,True,,,,,6,3,1,6
gsm8k-test-35,True,,,,,9,4,5,9
gsm8k-test-36,False,,,,,4,4,3,6
gsm8k-test-37,True,,,,,12,2,1,15
gsm8k-test-38,True,,,,,9,2,7,10
gsm8k-test-39,True,,,,,9,2,3,9
gsm8k-test-40,True,,,,,2,2,1,3
gsm8k-test-41,True,,,,,7,2,1,9
gsm8k-test-42,True,,,,,4,3,3,5
gsm8k-test-43,True,,,,,5,2,1,8
gsm8k-test-44,False,,,,,2,2,1,4
gsm8k-test-45,True,,,,,9,9,6,12
gsm8k-test-46,True,,,,,4,3,1,9
gsm8k-test-47,False,,,,,6,2,5,6
gsm8k-test-48,True,,,,,6,4,3,7
gsm8k-test-49,True,,,,,6,4,3,6
gsm8k-test-50,False,,,,,4,3,2,4
gsm8k-test-51,True,,,,,5,2,1,7
gsm8k-test-52,True,,,,,3,2,2,5
gsm8k-test-53,True,,,,,14,8,7,15
gsm8k-test-54,True,,,,,4,3,1,8
gsm8k-test-55,True,,,,,6,3,5,7
gsm8k-test-56,True,,,,,4,4,2,5
gsm8k-test-57,True,,,,,6,10,8,12
gsm8k-test-58,False,,,,,5,5,4,9
gsm8k-test-59,True,,,,,5,2,2,5
gsm8k-test-60,True,,,,,5,2,2,9
gsm8k-test-61,True,,,,,6,4,2,6
gsm8k-test-62,False,,,,,12,2,5,16
gsm8k-test-63,True,,,,,7,2,1,16
gsm8k-test-64,True,,,,,2,5,3,13
gsm8k-test-65,False,,,,,4,2,1,5
gsm8k-test-66,True,,,,,2,2,5,10
gsm8k-test-67,True,,,,,9,2,1,9
gsm8k-test-68,True,,,,,2,7,1,8
gsm8k-test-69,True,,,,,3,3,1,5
gsm8k-test-70,False,,,,,5,3,1,6
gsm8k-test-71,True,,,,,3,2,4,7
gsm8k-test-72,True,,,,,1,4,2,9
gsm8k-test-73,True,,,,,6,2,1,8
gsm8k-test-74,True,,,,,11,2,4,11
gsm8k-test-75,True,,,,,3,2,1,12
gsm8k-test-76,False,,,,,6,2,1,8
gsm8k-test-77,True,,,,,3,3,2,7
gsm8k-test-78,False,,,,,2,7,1,15
gsm8k-test-79,True,,,,,2,6,4,7
gsm8k-test-80,True,,,,,6,2,2,8
gsm8k-test-81,True,,,,,5,3,2,5
gsm8k-test-82,True,,,,,16,5,3,16
gsm8k-test-83,True,,,,,3,2,1,6
gsm8k-test-84,True,,,,,11,2,1,11
gsm8k-test-85,True,,,,,10,4,7,11
gsm8k-test-86,False,,,,,5,3,1,16
gsm8k-test-87,True,,,,,5,3,2,16
gsm8k-test-88,True,,,,,6,2,1,8
gsm8k-test-89,True,,,,,4,3,1,5
gsm8k-test-90,True,,,,,7,2,1,9
gsm8k-test-91,True,,,,,1,3,5,11
gsm8k-test-92,True,,,,,7,2,1,8
gsm8k-test-93,True,,,,,6,2,1,10
gsm8k-test-94,True,,,,,5,5,2,8
gsm8k-test-95,True,,,,,1,4,5,8
gsm8k-test-96,True,,,,,7,2,1,8
gsm8k-test-97,True,,,,,4,2,1,6
gsm8k-test-98,True,,,,,6,3,2,8
gsm8k-test-99,True,,,,,5,2,1,5
